$$APEX,93,04:00:28,,,21,000,000,,13.25,7.63,D49,966,0002,0004,000000005,1E*039C
$$APEX,94,04:04:53,5212.8245,00005.9861,6,000,000,05,13.38,6.94,D49,964,,,000000005,1E*AAE2
$$APEX,95,04:04:47,5212.8257,00005.9843,14,000,000,04,13.50,6.13,D49,009,0008,000A,000000007,0000001*0F*94EA


$$APEX,102,04:08:22,5212.8097,00005.9829,,,,,,6.25,D08,96A,06,0008,62160A0E4,*95
$$APEX,103,04:08:43,5212.8153,00006.0033,14,004,126,07,13.94,6.38,D4A,96A,,,007469204,21*@6E

$$APEX,105,04:09:36,5212.8133,00006.0075,21,000,000,06,14.13,6.63,D49,96C,000A,0004,000001005,30*71B3
$$APEX,106,04:09:59,5212.8132,00006.0052,17,000,000,06,14.19,6.63,D49,96D,,,000000005,30*C887

$$APEX,108,04:10:54,5212.8130,00006.0043,16,000,000,06,14.44,6.56,D4A,96F,0004,0003,000000015,30*ACEB
$$APEX,109,04:11:17,5212.8130,00006.0043,16,000,000,07,14.50,6.56,D4A,96D,,,000000015,30*680B


$$APEX,126,04:18:39,5212.8670,00005.9416,214,011,317,07,15.69,9.19,CCE,978,0002,0008,040301015,3E*1EE5
$$APEX,127,04:19:02,5212.9057,00005.8326,413,020,273,06,15.81,10.69,C8F,978,,,020200015,3E*2F34

$$APEX,129,04:19:57,5212.9440,00005.3834,744,019,291,08,16.00,10.69,BFD,97A,0004,0006,040301015,3C*9283
$$APEX,130,04:20:20,5212.9663,00005.2327,902,025,287,06,16.06,10.19,BC2,979,,,040300025,3C*EA2F

$$APEX,132,04:21:15,5212.9599,00004.9757,1178,020,259,06,16.06,8.63,B3D,97B,0005,0005,020301015,34*C4EB

$$APEX,,,,,,,,,,,,,,,,*
$$APEX,135,04:22:33,5212.8530,00004.6293,1732,026,197,07,15.81,7.38,A7F,97D,0008,0005,040201015,4E*F35F
$$APEX,136,04:22:56,5212.8017,00004.6068,1843,005,028,06,15.81,7.81,A46,97C,,,010200025,4E*599D

$$APEX,138,04:23:51,5212.7290,00004.6118,2193,010,206,07,15.69,7.44,9C8,97E,0003,0005,020301015,38*9450
$$APEX,139,04:24:14,5212.6928,00004.6005,2342,011,201,06,15.56,6.81,994,97D,,,030201025,38*B4CC

$$APEX,141,04:25:09,5212.6151,00004.5286,2681,004,183,07,15.25,5.00,920,97F,0007,0007,030202015,41*3F2D


$$APEX,144,04:26:27,5212.5216,00004.5536,3171,008,159,07,14.63,2.69,883,980,0005,0009,040201045,48*C172
$$APEX,145,04:26:50,5212.5038,00004.5544,3352,004,213,06,14.56,2.19,855,97F,,,030304015,48*6ACC

$$APEX,147,04:27:45,5212.4931,00004.5743,3706,009,272,07,14.25,0.31,7EA,981,0009,0006,030601055,58*5F59
$$APEX,148,04:28:08,5212.4738,00004.5595,3825,008,232,07,14.06,-0.63,7BF,980,,,090B02025,58*D5B6

$$APEX,150,04:29:03,5212.4409,00004.4978,4172,013,210,06,13.63,-3.31,757,981,000C,0009,0A0402025,59*C60B
$$APEX,151,04:29:26,5212.4143,00004.4499,4313,011,186,07,13.31,-4.00,72C,980,,,050502035,59*FC07

$$APEX,153,04:30:21,5212.3472,00004.4632,4668,010,104,05,12.81,-5.88,6CA,981,000F,0009,080401035,53*FB06
$$APEX,154,04:30:44,5212.3208,00004.5254,4817,018,149,06,12.63,-6.81,6A0,97F,,,050804045,53*6393

