
$$APEX,45,17:45:48,5116.2172,-00019.4513,38,074,073,06,26.25,26.38,D12,82A,,,170B090A3,,26*3D66
   $$APEX,46,17:46:48,5116.7086,-00019.5624,46,079,343,06,26.13,26.19,D10,829,,,1E0E0A0A3,,25*7034


$$APEX,47,17:47:48,5116.9983,-00019.2420,36,072,059,03,26.00,26.19,D06,829,,,0A0504033,,25*2C3F
  $$APEX,48,17:48:47,5117.2996,-00018.6862,88,062,349,04,25.88,26.06,CFB,829,,,060402033,,23*6932


$$APEX,49,17:49:46,5117.8569,-00018.9814,84,036,340,05,25.81,25.94,D06,828,,,080403033,,24*3F5C
   $$APEX,50,17:50:46,5118.0040,-00018.7384,76,000,000,05,25.75,25.88,D05,829,,,0D0604043,,24*E4B5


$$APEX,51,17:51:46,5118.2650,-00018.2872,78,052,043,05,25.56,25.75,D05,829,,,0803070E3,,25*6AD6
   $$APEX,52,17:52:45,5118.5949,-00017.9047,63,044,051,05,25.50,25.75,D04,829,,,2F180D0C3,,23*E066


$$APEX,53,17:53:44,5118.9693,-00017.5001,75,056,031,05,25.38,25.69,D01,829,,,09070C0E3,,24*5ED9
   $$APEX,54,17:54:44,5119.1869,-00017.5308,76,022,356,05,25.31,25.69,D0A,81F,,,120806063,,24*9432


$$APEX,55,17:55:44,5119.2584,-00017.7548,65,004,257,05,25.31,25.63,D04,820,,,120906073,,24*CAEA
  $$APEX,56,17:58:12,5119.2182,-00017.5466,67,019,141,06,25.25,25.81,D07,821,,,1A0D09093,,00*78C0


$$APEX,57,17:59:01,5119.1911,-00017.3278,57,037,029,06,25.06,25.63,D06,821,,,120A07073,,25*1209
   $$APEX,58,17:59:50,5119.4748,-00016.8614,89,050,059,05,24.81,25.44,D04,822,,,2A160D0E3,,24*9F0E


$$APEX,59,18:00:39,5119.6528,-00016.3546,62,052,049,06,24.81,25.38,D07,822,,,3C2113143,,24*EC20
  $$APEX,60,18:01:28,5119.9640,-00016.2230,61,027,072,07,24.75,25.19,D13,821,,,100805063,,26*9470


$$APEX,61,18:02:16,5120.0160,-00015.9688,59,037,063,05,24.63,25.06,D0E,820,,,0C0604043,,25*0F52
  $$APEX,62,18:03:05,5120.0562,-00015.7365,60,050,075,05,24.56,24.88,D0F,821,,,2F190E0F3,,24*1E9B


$$APEX,63,18:03:54,5120.0239,-00015.1991,75,051,147,06,24.25,24.88,D0E,822,,,160D080A3,,24*AE25
  $$APEX,64,18:04:43,5119.7283,-00014.8876,75,045,121,06,24.31,24.88,D02,822,,,0F0805053,,23*B0F5


$$APEX,65,18:05:32,5119.5846,-00014.4075,100,053,073,05,24.25,24.69,CF9,821,,,0C0505043,,24*6E4C
   $$APEX,66,18:06:21,5119.6033,-00013.9953,97,037,149,04,24.25,24.69,CFC,823,,,180B08083,,24*EDA4


$$APEX,67,18:07:09,5119.6484,-00013.5887,131,051,079,04,24.19,24.69,CF1,822,,,090404043,,25*B453
   $$APEX,68,18:07:58,5119.6949,-00013.0017,137,052,072,06,24.13,24.56,CE9,822,,,050302023,,24*552C


$$APEX,69,18:08:47,5119.6788,-00012.6294,151,000,000,06,24.00,24.56,CEB,823,,,1E0F0A0A3,,25*7505
   $$APEX,70,18:09:36,5119.6706,-00012.5464,146,034,092,06,23.81,24.38,CE9,822,,,060302023,,23*E246


$$APEX,71,18:10:25,5119.4422,-00012.3876,160,036,066,06,23.75,24.38,CE5,822,,,1F0F0A0B3,,24*C42D
   $$APEX,72,18:11:14,5119.4919,-00012.2791,167,000,000,06,23.69,24.25,CE5,822,,,0B0504043,,24*C4BB



