$$APEX
$$APEX,466,12:23:14,5119.4899,-00012.2585,160,000,000,07,27.00,25.81,CE2,822,,,332513182,,*DD08
$$APEX,467,12:23:43,5119.4899,-00012.2578,161,000,000,07,27.06,25.81,CE3,822,,,322413182,,*42AA
$$APEX,468,12:24:11,5119.4898,-00012.2581,161,000,000,07,27.00,25.75,CE2,821,,,312412172,,*8CE9
$$APEX,469,12:24:40,5119.4900,-00012.2536,169,000,000,07,27.06,25.81,CE3,822,,,312513172,,*095E
$$APEX,470,12:25:09,5119.4899,-00012.2543,168,000,000,06,27.06,25.81,CE3,822,,,2F2212162,,*F94D
$$APEX,471,12:25:38,5119.4898,-00012.2549,168,000,000,06,27.06,25.88,CE1,822,,,302412172,,*4431
$$APEX,472,12:26:07,5119.4898,-00012.2553,167,000,000,06,27.06,25.81,CE2,822,,,2E2111152,,*AFCD
$$APEX,473,12:28:03,5119.4889,-00012.2571,167,000,000,05,27.00,25.81,CE2,822,,,BD8342543,,*FE49
$$APEX,474,12:28:31,5119.4891,-00012.2587,162,000,000,06,27.00,25.81,CE4,822,,,2A1D0F122,,*2CBA
$$APEX,475,12:28:59,5119.4892,-00012.2546,168,000,000,06,27.00,25.94,CE3,822,,,2C1E0F122,,*23FA
$$APEX,476,12:29:27,5119.4892,-00012.2576,164,000,000,06,27.00,25.88,CE2,822,,,2C1E0F132,,*58A9
$$APEX,479,13:11:49,5119.4079,-00012.2438,,000,000,04,26.25,25.75,CE3,822,,,2D2211162,,*5199
$$APEX,480,13:12:17,5119.3885,-00012.1841,,000,000,04,26.25,25.75,CE2,821,,,2D2111152,,*C1E5
$$APEX,481,13:12:45,5119.3851,-00012.1756,,000,000,04,26.31,25.75,CE1,821,,,2E2212152,,*9465
$$APEX,482,13:13:13,5119.3939,-00012.2121,,000,000,03,26.38,25.75,CE4,821,,,2D2211152,,*01B6
$$APEX,483,13:13:41,5119.4047,-00012.2372,,000,000,04,26.38,25.81,CE4,822,,,2C2111152,,*4AED
$$APEX,484,13:14:09,5119.4107,-00012.2058,16,000,000,05,26.44,25.81,CE1,822,,,2C2211162,,*43BE
$$APEX,485,13:14:38,5119.4782,-00012.2489,131,000,000,05,26.44,25.75,CE5,821,,,2D2211162,,*5602
$$APEX,486,13:15:07,5119.4886,-00012.2581,149,000,000,04,26.50,25.75,CE3,821,,,2D2111152,,*A621
$$APEX,487,13:15:37,5119.4897,-00012.2605,150,000,000,06,26.56,25.75,CE3,822,,,2C2111162,,*D391
