,Packet Counter,Time,Lat,Long,alt /m,speed,bearing,sats,int temp,ex temp,Pressure (mb),Batt volts (hex),Batt volts,IRD1,IRD2,clear,red,green,blue,RSSI,checksum,,,RSSI (hex),Light (arb),Pressure (hex)
APEX,359,10:49:33,5222.6133,39.677,16,3,172,7,18.63,20.81,,965,,0,0,980,570,320,435,61,4C03,,,3D,C47240572,D1C
APEX,360,10:50:23,5222.6243,39.6747,51,0,164,8,18.88,21.44,,966,,0,0,1090,620,350,470,67,5B38,,,43,DA7C465E2,D1C
APEX,361,10:51:13,5222.6209,39.6772,37,0,0,6,19.25,22.44,,967,,0,0,670,365,210,290,67,122D,,,43,86492A3A2,D1C
APEX,362,10:52:02,5222.6245,39.6763,53,0,0,8,19.19,22.19,,966,,0,0,920,515,290,400,64,BADB,,,40,B8673A502,D1B
APEX,363,10:52:52,5222.6289,39.6816,59,0,0,5,19.75,22.31,,966,,0,0,240,150,75,100,35,4ACD,,,23,301E0F142,D1C
APEX,364,10:53:42,5222.6333,39.686,67,0,0,8,20.19,21.38,,967,,0,0,3800,2650,1400,1750,31,5384,,,1F,4C351C231,D1C
APEX,365,10:54:32,5222.6338,39.686,67,0,0,8,20.88,21.63,,966,,0,1,3300,1950,1100,1350,34,B5CD,,,22,4227161B1,D1B
APEX,366,10:55:22,5222.6332,39.686,63,0,0,8,19.94,20.31,,96C,,0,0,3450,2050,1150,1400,31,A9A3,,,1F,4529171C1,D1B
APEX,367,10:56:12,5222.6342,39.6847,67,0,0,7,20.13,20.25,,96E,,0,0,3500,2150,1150,1400,31,1F94,,,1F,462B171C1,D1C
APEX,368,10:57:02,5222.6365,39.6835,80,0,0,7,20.25,20.38,,972,,0,0,3550,2150,1200,1450,33,CED1,,,21,472B181D1,D1C
APEX,369,10:57:52,5222.6324,39.6825,67,0,0,8,19.19,20.31,,975,,0,0,3800,2950,1550,1950,36,B4C5,,,24,4C3B1F271,D1C
APEX,370,10:58:42,5222.6268,39.6771,63,0,7,6,20.06,20.75,,978,,0,0,3800,3200,1700,2000,36,3088,,,24,4C4022281,D1B
APEX,371,10:59:32,5222.6369,39.6805,85,0,0,7,20.38,20.88,,97B,,0,0,0,0,0,0,36,513E,,,24,5,D1C
APEX,372,11:00:25,5222.6231,39.6829,41,0,0,8,21,21.5,,97D,,0,0,0,0,0,0,36,5FE0,,,24,5,D1D
APEX,373,11:01:18,5222.6258,39.6825,46,0,0,9,21.5,22.81,,980,,0,0,0,0,0,0,36,F1CB,,,24,5,D1D
APEX,374,11:02:11,5222.6261,39.6826,46,0,0,9,21.25,23,,981,,0,0,0,0,0,0,36,D55A,,,24,5,D1C
APEX,375,11:03:04,5222.6247,39.6836,41,0,0,9,22.56,24.75,,984,,0,0,0,0,0,0,36,812D,,,24,5,D1C
APEX,376,11:03:57,5222.6243,39.6841,40,0,0,9,22.38,23.94,,986,,0,0,0,0,0,0,37,2653,,,25,5,D1D
APEX,377,11:04:50,5222.6243,39.6844,39,0,0,9,21.88,23.31,,989,,0,0,0,0,0,0,36,B52A,,,24,5,D1C
APEX,378,11:05:43,5222.6246,39.6849,39,0,31,9,20.19,21.06,,98B,,0,0,0,0,0,0,36,7B5C,,,24,5,D1C
APEX,379,11:06:36,5222.6274,39.6866,45,0,0,9,20.38,20.88,,98B,,0,0,0,0,0,0,36,B36A,,,24,5,D1C
APEX,380,11:07:29,5222.6269,39.6823,46,0,0,8,21.5,21.69,,98C,,0,0,0,0,0,0,36,3AC3,,,24,5,D1D
APEX,381,11:08:22,5222.6317,39.6797,56,0,0,5,22.19,23.13,,98E,,0,0,0,0,0,0,36,5CE2,,,24,5,D1D
APEX,382,11:09:15,5222.6276,0,,,,,,,,,,0,,0,0,0,0,0,,,,,,
