00.0,000.0,08,7FB,000,78673742,3,*D4E0
$$APEX,136,21:36:44,5119.4900,-00012.2584,156,000.0,000.0,07,7FC,000,AA8E5465,3,*FF0A

7Æí÷ë$$APEX,137,21:37:28,5119.4902,-00012.2586,156,000.0,000.0,07,7FB,000,9A895061,3,*29AD
$$APEX,138,21:38:12,5119.4904,-00012.2586,155,000.0,000.0,07,7FA,000,A68E5566,3,*2B0C

½}õã$$APEX,139,21:38:56,5119.4906,-00012.2591,154,000.0,000.0,07,7FD,000,A9925565,3,*DFB0

ë5[t½$$APEX,140,21:39:40,5119.4905,-00012.2590,155,000.0,000.0,07,7FE,000,B09D5666,3,*BA78
Öùí1êô$$APEX,142,21:41:08,5119.4904,-00012.2588,155,000.0,000.0,07,7FA,000,92944855,3,*DE0A

ÿ·ß¬üý$$APEX,143,21:41:52,5119.4904,-00012.2593,155,000.0,000.0,06,7FC,000,959B4856,3,*CE36

ýyè$$APEX,144,21:42:36,5119.4896,-00012.2565,163,000.0,000.0,07,7FC,000,A98E5767,3,*5115
00.0,07,7FC,000,94974653,3,*2DCA

à¿Ó=$$APEX,148,21:45:32,5119.4890,-00012.2532,165,000.0,000.0,07,7FB,000,9C9A4957,3,*8A39

ß×$$APEX,149,21:46:16,5119.4892,-00012.2541,164,000.0,000.0,07,7FC,000,A08E5060,3,*793A
$$APEX,151,21:47:44,5119.4893,-00012.2554,163,000.0,000.0,07,7FB,000,A48B5262,3,*EC7E

ÿµÌÝÿ¶ã$$APEX,152,21:48:28,5119.4893,-00012.2561,162,000.0,000.0,08,7FE,000,A08F4F5D,3,*6165

oïý<c$$APEX,153,21:49:12,5119.4892,-00012.2566,161,000.0,000.0,08,7FD,000,B29B5666,3,*FB88
ÜóÊ$$APEX,155,21:50:40,5119.4895,-00012.2573,159,000.0,000.0,08,7FD,000,9A994754,3,*FCD7

ùö{îÛq$$APEX,156,21:51:24,5119.4895,-00012.2575,159,000.0,000.0,08,7FC,000,92914754,3,*DEEA

¿Áµ$$APEX,157,21:52:08,5119.4894,-00012.2576,159,000.0,000.0,08,7FE,000,A1954E5B,3,*DF68
$$APEX,161,21:55:04,5119.4900,-00012.2623,153,000.0,000.0,08,7FE,000,A8974F5D,3,*0C48
$$APEX,174,22:04:36,5119.4890,-00012.2576,161,000.0,000.0,08,7FD,000,8B8E4552,3,*AAEA

:?]}$$APEX,175,22:05:20,5119.4896,-00012.2591,159,000.0,000.0,08,7FD,000,9F854D5A,3,*9C57
tQ5C,3,*A04E

ýMÙ8PEX,198,,,,,,,,7FD,000,A8A14C58,3,*B736
$$APEX,202,23:14:15,5119.4890,-00012.2586,148,000.0,000.0,06,7FB,000,AA945362,3,*C6D1

Û¯<dAPEX,203,23:14:59,5119.4891,-00012.2580,150,000.0,000.0,06,7FD,000,A08B5364,3,*AC8C

Û¯<dAPEX,203,23:14:59,5119.4891,-00012.2580,150,000.0,000.0,06,7FD,000,A08B5364,3,*AC8C
n \$$APEX,204,23:15:43,5119.4890,-00012.2578,151,000.0,000.0,06,7FC,000,A3A04B59,3,*7660

6±àq$$APEX,205,23:16:12,5119.4889,-00012.2576,151,000.0,000.0,06,7FC,000,9B8B5364,3,*9CA9

6±àq$$APEX,205,23:16:12,5119.4889,-00012.2576,151,000.0,000.0,06,7FC,000,9B8B5364,3,*9CA9
)§ýá³$$APEX,206,23:16:56,5119.4889,-00012.2576,152,000.0,000.0,06,7FD,000,AF955462,3,*6AD4

6±àq$$APEX,205,23:16:12,5119.4889,-00012.2576,151,000.0,000.0,06,7FC,000,9B8B5364,3,*9CA9
)§ýá³$$APEX,206,23:16:56,5119.4889,-00012.2576,152,000.0,000.0,06,7FD,000,AF955462,3,*6AD4
ÿRÏò$$APEX,207,23:17:40,5119.4890,-00012.2577,152,000.0,000.0,06,7FC,000,9F8B5566,3,*09EF

