$$APEX,586,13:53:31,5119.4902,-00012.2610,157,06,7FC,000,49301920,2,*ADC5
$$APEX,587,13:54:11,5119.4901,-00012.2604,157,06,7FE,000,55391D25,2,*D08B
$$APEX,588,13:54:51,5119.4900,-00012.2597,157,07,7FE,000,6948252E,2,*9CC7
$$APEX,589,13:55:31,5119.4899,-00012.2592,157,07,7FB,000,7B582D39,2,*CA58
$$APEX,590,13:56:11,5119.4900,-00012.2598,156,07,7FD,000,8761323F,2,*C782
$$APEX,591,13:56:51,5119.4901,-00012.2607,156,06,7FD,000,855C2F3A,2,*DB1B
$$APEX,592,13:57:31,5119.4901,-00012.2613,155,06,7FD,000,7A502831,2,*1971
$$APEX,593,13:58:11,5119.4901,-00012.2615,155,07,7FC,000,734B262E,2,*366F
$$APEX,594,13:58:51,5119.4901,-00012.2616,155,06,7FC,000,6845232B,2,*2F16
$$APEX,595,13:59:31,5119.4900,-00012.2614,154,05,7FC,000,704C2731,2,*519F
$$APEX,596,14:00:11,5119.4900,-00012.2610,154,07,7FF,000,5C41222B,2,*7C0C
$$APEX,597,14:00:51,5119.4901,-00012.2610,154,07,7FB,000,573F222A,2,*E169
$$APEX,598,14:01:31,5119.4902,-00012.2607,153,06,7FB,000,4A331B23,2,*F44B
$$APEX,599,14:02:11,5119.4902,-00012.2604,153,06,7FC,000,442C181E,2,*2891
$$APEX,600,14:02:51,5119.4899,-00012.2597,151,05,7FC,000,49301920,2,*7730
$$APEX,601,14:03:31,5119.4898,-00012.2601,150,05,7FC,000,583C1E26,2,*A8B0
$$APEX,602,14:04:11,5119.4897,-00012.2602,149,05,7FD,000,583B1E26,2,*8312
$$APEX,603,14:04:51,5119.4895,-00012.2598,149,05,7FE,000,76542B37,2,*2CA6
$$APEX,604,14:05:31,5119.4895,-00012.2595,149,05,7FE,000,86643440,2,*F01B
$$APEX,605,14:06:11,5119.4898,-00012.2589,151,06,7FD,000,6E4E2832,2,*A1F5
$$APEX,606,14:06:51,5119.4898,-00012.2564,152,06,7FC,000,8461313E,2,*71A6
$$APEX,607,14:07:31,5119.4894,-00012.2548,153,06,7FC,000,96723A48,2,*197D
$$APEX,608,14:08:11,5119.4900,-00012.2610,153,05,7FC,000,875E303A,2,*B4D4
$$APEX,609,14:08:51,5119.4897,-00012.2581,153,06,7FD,000,44321920,2,*87CC
$$APEX,610,14:09:31,5119.4899,-00012.2600,153,06,7FC,000,3A2E181E,2,*FDB7
$$APEX,611,14:10:11,5119.4900,-00012.2604,153,07,7FE,000,332A151B,2,*754C
$$APEX,613,14:12:03,5119.4899,-00012.2599,154,06,7FC,000,2E231216,2,*1E68
$$APEX,614,14:12:43,5119.4897,-00012.2597,154,06,7FE,000,BD894759,3,*18D2
$$APEX,615,14:13:23,5119.4895,-00012.2595,154,06,7FC,000,BE8D495C,3,*0907
$$APEX,616,14:14:03,5119.4894,-00012.2593,154,05,7FD,000,291E0F14,2,*1AB2
$$APEX,617,14:14:43,5119.4893,-00012.2593,154,06,7FD,000,32261419,2,*09B0
$$APEX,618,14:15:22,5119.4893,-00012.2591,154,05,7FD,000,41351B22,2,*0F77
$$APEX,619,14:16:01,5119.4892,-00012.2590,154,05,7FE,000,43361C23,2,*1F49
$$APEX,620,14:16:41,5119.4892,-00012.2586,154,05,7FE,000,46381D24,2,*1CD1
$$APEX,621,14:17:21,5119.4890,-00012.2583,154,05,7FD,000,483A1D25,2,*0AF0
$$APEX,622,14:18:01,5119.4890,-00012.2582,154,05,7FC,000,40341D24,2,*0779
$$APEX,623,14:18:40,5119.4889,-00012.2583,153,05,7FE,000,46381D25,2,*0C52
$$APEX,624,14:19:20,5119.4888,-00012.2580,153,06,7FD,000,3B2C161C,2,*1ACD
$$APEX,625,14:20:00,5119.4888,-00012.2581,152,05,7FD,000,49391D24,2,*06A2
$$APEX,626,14:20:39,5119.4888,-00012.2584,151,05,7FD,000,4A3B1E25,2,*1636
$$APEX,627,14:21:18,5119.4887,-00012.2586,151,05,7FC,000,372D1820,2,*18CA
$$APEX,628,14:21:57,5119.4887,-00012.2588,152,05,7FA,000,372A161A,2,*0CB7
$$APEX,629,14:22:36,5119.4891,-00012.2590,153,06,7FE,000,3F321920,2,*1028
$$APEX,630,14:23:16,5119.4897,-00012.2590,154,07,7FC,000,3A2E181F,2,*1A31
$$APEX,631,14:23:55,5119.4895,-00012.2594,153,06,7FD,000,3D30191F,2,*1CB6
$$APEX,632,14:24:34,5119.4895,-00012.2599,153,06,7FC,000,3F321A21,2,*1E27
$$APEX,633,14:25:14,5119.4912,-00012.2595,159,06,7FE,000,43361C22,2,*1BFC
$$APEX,634,14:25:54,5119.4944,-00012.2585,168,05,7FB,000,392C161C,2,*1886
$$APEX,635,14:26:33,5119.4951,-00012.2578,172,06,7FD,000,37291519,2,*15B4
$$APEX,636,14:27:13,5119.4968,-00012.2568,175,06,7FB,000,33251317,2,*0015
$$APEX,638,14:28:33,5119.4951,-00012.2578,172,05,7FD,000,2F221116,2,*1887
$$APEX,639,14:29:13,5119.4949,-00012.2579,171,05,800,000,2E211115,2,*0BC9
$$APEX,640,14:29:52,5119.4945,-00012.2581,170,05,7FC,000,392D181E,2,*1B9A
$$APEX,641,14:30:31,5119.4940,-00012.2584,169,05,7FC,000,32261318,2,*08A5
$$APEX,642,14:31:10,5119.4936,-00012.2587,168,05,7FD,000,40331A21,2,*0164
$$APEX,643,14:31:49,5119.4932,-00012.2590,166,05,7FE,000,2B1F1014,2,*0ABB
$$APEX,644,14:32:28,5119.4927,-00012.2594,165,05,7FC,000,2B1E0F14,2,*0371
$$APEX,645,14:33:07,5119.4924,-00012.2596,164,05,7FD,000,41331A21,2,*0765
$$APEX,646,14:33:46,5119.4922,-00012.2598,163,05,7FC,000,47381D24,2,*10B8
$$APEX,647,14:34:25,5119.4921,-00012.2599,163,06,7FE,000,55402129,2,*1E1D
$$APEX,648,14:35:04,5119.4918,-00012.2602,162,06,7FC,000,533E1F28,2,*1788
$$APEX,649,14:35:43,5119.4915,-00012.2604,160,06,7FC,000,4D3B1E26,2,*19AE
